"remoteness","state","year","measure","value_type","value","na_value"
"Major Cities","Victoria",2013,"Deaths","no.",25097,NA
"Major Cities","Victoria",2013,"Infant mortality rate","rate",2.9,NA
"Major Cities","Victoria",2013,"Standardised death rate","rate",5.2,NA
"Major Cities","Victoria",2013,"Median age at death","years",82.4,NA
"Major Cities","Victoria",2014,"Estimated Resident Population","persons",4556850,NA
"Major Cities","Victoria",2014,"Deaths","no.",26630,NA
"Major Cities","Victoria",2014,"Infant mortality rate","rate",2.7,NA
"Major Cities","Victoria",2014,"Standardised death rate","rate",5.1,NA
"Major Cities","Victoria",2014,"Median age at death","years",82.5,NA
"Major Cities","Victoria",2015,"Estimated Resident Population","persons",4668901,NA
"Major Cities","Victoria",2015,"Deaths","no.",27870,NA
"Major Cities","Victoria",2015,"Infant mortality rate","rate",2.6,NA
"Major Cities","Victoria",2015,"Standardised death rate","rate",5.1,NA
"Major Cities","Victoria",2015,"Median age at death","years",82.7,NA
"Major Cities","Victoria",2016,"Estimated Resident Population","persons",4799835,NA
"Major Cities","Victoria",2016,"Deaths","no.",27470,NA
"Major Cities","Victoria",2016,"Infant mortality rate","rate",2.6,NA
"Major Cities","Victoria",2016,"Standardised death rate","rate",5.1,NA
"Major Cities","Victoria",2016,"Median age at death","years",82.7,NA
"Major Cities","Victoria",2017,"Estimated Resident Population","persons",4909349,NA
"Major Cities","Victoria",2017,"Deaths","no.",27931,NA
"Major Cities","Victoria",2017,"Infant mortality rate","rate",2.7,NA
"Major Cities","Victoria",2017,"Standardised death rate","rate",5,NA
"Major Cities","Victoria",2017,"Median age at death","years",82.9,NA
"Major Cities","Victoria",2018,"Estimated Resident Population","persons",5009197,NA
"Major Cities","Victoria",2018,"Deaths","no.",26435,NA
"Major Cities","Victoria",2018,"Infant mortality rate","rate",3,NA
"Major Cities","Victoria",2018,"Standardised death rate","rate",4.8,NA
"Major Cities","Victoria",2018,"Median age at death","years",83,NA
"Major Cities","Victoria",2019,"Estimated Resident Population","persons",5102070,NA
"Major Cities","Victoria",2019,"Deaths","no.",30800,NA
"Major Cities","Victoria",2019,"Infant mortality rate","rate",3.1,NA
"Major Cities","Victoria",2019,"Standardised death rate","rate",4.9,NA
"Major Cities","Victoria",2019,"Median age at death","years",82.8,NA
"Major Cities","Victoria",2020,"Estimated Resident Population","persons",5159031,NA
"Major Cities","Victoria",2020,"Deaths","no.",28814,NA
"Major Cities","Victoria",2020,"Infant mortality rate","rate",3.1,NA
"Major Cities","Victoria",2020,"Standardised death rate","rate",4.9,NA
"Major Cities","Victoria",2020,"Median age at death","years",82.7,NA
"Major Cities","Victoria",2021,"Estimated Resident Population","persons",5075096,NA
"Major Cities","Victoria",2021,"Deaths","no.",29641,NA
"Major Cities","Victoria",2021,"Infant mortality rate","rate",3.1,NA
"Major Cities","Victoria",2021,"Standardised death rate","rate",4.9,NA
"Major Cities","Victoria",2021,"Median age at death","years",82.7,NA
"Major Cities","Victoria",2022,"Estimated Resident Population","persons",5141424,NA
"Major Cities","Victoria",2022,"Deaths","no.",33335,NA
"Major Cities","Victoria",2022,"Infant mortality rate","rate",3,NA
"Major Cities","Victoria",2022,"Standardised death rate","rate",5,NA
"Major Cities","Victoria",2022,"Median age at death","years",83,NA
"Major Cities","Victoria",2023,"Estimated Resident Population","persons",5312550,NA
"Major Cities","Victoria",2023,"Deaths","no.",31458,NA
